,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
0,"[28, 12, 14, 10752]",9703,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",2.154325,/8K4WWwFew1CzCGVkgmKdamCA6kz.jpg,2007-04-19,The Last Legion,5.1,161
1,"[18, 10752]",11600,Redacted is a film written and directed by Brian De Palma that is a fictional drama loosely based on the Mahmudiyah killings in Iraq.,1.688185,/59SCyrGk5KtTtqZg16QmHx7BInt.jpg,2007-01-01,Redacted,6.0,29
2,"[18, 10752]",7862,"The story Jewish counterfeiter, Salomon Sorowitsch, coerced into assisting the Nazi operation of the Sachsenhausen concentration camp during World War II.",1.535367,/bRQddrgVemZtFdnrPy9AxTpkhpj.jpg,2007-02-09,The Counterfeiters,7.3,123
3,"[10752, 35, 18]",6172,"Hitler no longer believes in himself, and can barely see himself as an equal to even his sheep dog. But to seize the helm of the war he would have to create one of his famous fiery speeches to mobilize the masses. Goebbels therefore brings a Jewish acting teacher Grünbaum and his family from the camps in order to train the leader in rhetoric. Grünbaum is torn, but starts Hitler in his therapy ...",1.31671,/g0qAFteXp0V8QbFPxdx9bo058IP.jpg,2007-01-11,My Führer,5.4,20
4,"[18, 36, 10752]",13614,An examination of the Soviet slaughter of thousands of Polish officers and citizens in the Katyn forest in 1940.,1.222725,/yNOxe78EYZO5LcQTfDwTeIuvDcK.jpg,2007-09-21,Katyn,6.6,41
5,"[28, 10752, 18]",199408,"Based on true facts, the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home.",1.197318,/kYhrNDYcm9AeQ3uUhgX48MfL1kp.jpg,2007-03-08,1971,0.0,0
6,"[36, 10752]",13507,A drama following a French platoon during Algeria's war of independence,1.188764,/mT4wvIanX1qx04l1Zz03i7P88ne.jpg,2007-01-01,Intimate Enemies,7.0,10
7,"[10752, 18]",46141,"In 1944 many Germans in Eastern Prussia believed like Lena von Mahlenberg, daughter of a local aristocrat, that Hitler would surrender and spare them from being invaded by the vengeful Russian Red Army. He didn't and they had to flee.",1.180374,/kY4hxHtLdGpvhi2xsRT6JOhCL29.jpg,2007-03-01,March of Millions,6.1,6
8,"[18, 10752]",23764,"On a winter morning, a mother goes to waken her son Heinrich; his bed is empty. She leaves her flat to find him. The neighbors' door, with a Star of David painted on it, is ajar, the furnishings in disarray, the family gone. She asks passersby, runs to the police then on to the rail yard. Flashbacks show that Heinrich and the neighbors' son Paul are six years old and best friends. Paul's family's deportation is expected soon; Heinrich's mother tells her son that they're going to Toyland. Heinrich wants to go with them, has a bag packed, and listens for their departure. His mother realizes he's joined them, and her resolve becomes more urgent. Will she arrive in time to save Heinrich?",1.140203,/96sRO2PA8VJhODs9lNCX8gjeirG.jpg,2007-08-29,Toyland,6.3,14
9,"[99, 36, 10752]",37122,"This is the true and astounding saga of the Spartans at Thermopylae. It is among the greatest tales of war ever recounted. All the glory and grit of these warriors' last stand is captured in this exceptional documentary. It is almost impossible to understand how 300 Spartans managed to hold off the million-man Persian army for even a moment, much less seven days. To a man they paid with their lives but their stunning Last Stand assured that their sacrifice would resonate throughout history. Transporting dramatizations and incisive graphics put you in the heat of the battle and show the lay of the land. The complications and strategies of the conflict are revealed through careful analysis, and critical moments are reconstructed to show exactly what happened. Discover what the Spartans were fighting for, what made them capable of such heroics and what drove them to such sacrifice.",1.138464,/uqacnLtPg4DbLrv4d2xTTHXNrOn.jpg,2007-05-27,Last Stand of the 300,6.5,3
10,[10752],54462,"In 1943, as Japan's WWII effort falters, a vice-admiral proposes training squadrons of ""volunteer"" flyers to crash their armed planes into Allied warships. Yarn follows the lives of kamikaze pilots, as remembered by an aging Kyushu restaurateur who cherishes their memory. Honoring the dead and multiple military anthems may stir the soul of some Japanese, but elsewhere auds will make a one-way trip for exits. Battle scenes are well-executed and script delivers some memorable scenes, but overall competent helming and thesping are powerless over writer-cum-Tokyo governor Shintaro Ishiara's repetitive storytelling. A post-war postscript adds considerable length to an already over-extended narrative. Tech credits are good quality.",1.118139,/5IeP5ChjIrYqC8frijbXHAX7Cmj.jpg,2007-05-12,For Those We Love,6.3,2
11,"[10752, 18, 10769]",17479,An elderly woman takes a train trip to visit her grandson at his army camp inside Chechnya.,1.108518,/9POA9IsaXjMxNmiADcFLhg40c2B.jpg,2007-09-26,Alexandra,6.2,7
12,"[99, 36, 10752]",204291,"A historical recreation of Canada's role in World War I, cast by descendants of the people who participated in it.",1.085817,/Au19P2EbZoLOdnysH6GvuKvS7jj.jpg,2007-04-29,The Great War,0.0,0
13,"[28, 12, 18, 36, 10752]",14111,"An investigation of the massacre of 24 men, women and children in Haditha, Iraq allegedly shot by 4 U.S. Marines in retaliation for the death of a U.S. Marine killed by a roadside bomb. The movie follows the story of the Marines of Kilo Company, an Iraqi family, and the insurgents who plant the roadside bomb.",1.08523,/sTL1nfASr1JJnqIkZQwBmaSdEkN.jpg,2007-09-11,Battle For Haditha,6.1,33
