,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
0,"[16, 35, 10751]",295693,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",337.228907,/2B78dT7Bs8HhtpgcljOWlsaX5I6.jpg,2017-03-23,The Boss Baby,5.8,471
1,"[14, 10402, 10749]",321612,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,150.167688,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,2017-03-16,Beauty and the Beast,6.9,1690
2,"[28, 18, 878]",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.",84.198451,/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,2017-02-28,Logan,7.5,2384
3,"[28, 12, 14]",293167,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",65.631825,/6KpKpkH4Tf9fUkUuLPkO6OhYsTI.jpg,2017-03-08,Kong: Skull Island,6.1,1164
4,"[16, 35, 18, 10751, 10402]",335797,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,63.976652,/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg,2016-11-23,Sing,6.7,1152
5,"[28, 18, 878]",315837,"In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",57.108395,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,2017-03-29,Ghost in the Shell,6.1,548
6,"[28, 12, 878, 53]",135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",40.814525,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,2015-06-09,Jurassic World,6.5,6725
7,"[12, 28, 14]",259316,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",37.655255,/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,2016-11-16,Fantastic Beasts and Where to Find Them,7.0,3305
8,"[27, 53]",381288,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",36.786269,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,2017-01-19,Split,6.8,1832
9,"[28, 18, 878, 10752]",330459,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,34.950227,/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,2016-12-14,Rogue One: A Star Wars Story,7.3,3128
